id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Decline Reason,Description,Fee,Refunded date (UTC),Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Customer Description,Customer Email,Invoice ID,Transfer
ch_3T7j1lCvUJHVsIHm19WXuvYs,2026-03-05 21:01:49,"5,00","0,00",eur,true,"5,00","0,00",eur,,,"0,41",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7j1kCvUJHVsIHmevMUo2ul,,,linodublin88@gmail.com,,
ch_3T7iIECvUJHVsIHm1dL2d7Dw,2026-03-05 20:14:47,"9,00","0,00",eur,true,"9,00","0,00",eur,,,"0,54",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7iIECvUJHVsIHmUtrvIFg1,,,linodublin88@gmail.com,,
ch_3T7hikCvUJHVsIHm0hEXHqGJ,2026-03-05 19:38:07,"5,00","0,00",eur,true,"5,00","0,00",eur,,,"0,41",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7hikCvUJHVsIHmh0Y75NlW,,,linodublin88@gmail.com,,
ch_3T7hfoCvUJHVsIHm1TZBtVOl,2026-03-05 19:35:05,"2,00","0,00",eur,true,"2,00","0,00",eur,,,"0,32",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7hfoCvUJHVsIHmxH5DeyG9,,,linodublin88@gmail.com,,
ch_3T7hT3CvUJHVsIHm1VAgrLOy,2026-03-05 19:21:54,"5,00","0,00",eur,true,"5,00","0,00",eur,,,"0,41",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7hT3CvUJHVsIHmkWSUWf2c,,,linodublin88@gmail.com,,
ch_3T7hOFCvUJHVsIHm1X0OtLMV,2026-03-05 19:16:56,"5,00","0,00",eur,true,"5,00","0,00",eur,,,"0,41",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7hOFCvUJHVsIHm3RPsblIw,,,linodublin88@gmail.com,,
ch_3T7gzGCvUJHVsIHm0A9lrzQu,2026-03-05 18:51:07,"2,00","0,00",eur,true,"2,00","0,00",eur,,,"0,32",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7gzFCvUJHVsIHm7ufSbsaM,,,linodublin88@gmail.com,,
ch_3T7guACvUJHVsIHm1rTN7bny,2026-03-05 18:45:51,"2,00","0,00",eur,true,"2,00","0,00",eur,,,"0,32",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7guACvUJHVsIHmkmcnoA7x,,,linodublin88@gmail.com,,
ch_3T7grACvUJHVsIHm0QCOmxFu,2026-03-05 18:42:45,"2,00","0,00",eur,true,"2,00","0,00",eur,,,"0,32",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7grACvUJHVsIHmMyhXYVgL,,,linodublin88@gmail.com,,
ch_3T7gknCvUJHVsIHm04dxWxOA,2026-03-05 18:36:10,"2,00","0,00",eur,true,"2,00","0,00",eur,,,"0,32",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7gknCvUJHVsIHmBZDbTEVK,,,linodublin88@gmail.com,,
ch_3T7gRXCvUJHVsIHm1drOP558,2026-03-05 18:16:16,"2,00","0,00",eur,true,"2,00","0,00",eur,,,"0,32",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7gRXCvUJHVsIHmq7WnCbLu,,,dl.pdf971@gmail.com,,
ch_3T7gAOCvUJHVsIHm10b8CsWo,2026-03-05 17:58:33,"2,00","0,00",eur,true,"2,00","0,00",eur,,,"0,32",,ENVIRONNEMENT DE TEST,Paid,Payment complete.,"0,00",pm_1T7gAOCvUJHVsIHmFt6o5ECI,,,dl.pdf971@gmail.com,,
